"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"792",61,"C_to_RR.Policy_Dur","Loan_P","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"793",63,"C_to_RR.Policy_Dur","Loan_P","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"794",65,"C_to_RR.Policy_Dur","Loan_P","FT",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"795",67,"C_to_RR.Policy_Dur","Loan_P","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"796",75,"C_to_RR.Policy_Dur","Price","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"797",81,"C_to_RR.Policy_Dur","Price","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"798",91,"C_to_RR.Policy_Dur","FCI_C","F",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"799",93,"C_to_RR.Policy_Dur","FCI_C","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"800",95,"C_to_RR.Policy_Dur","FCI_C","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"801",97,"C_to_RR.Policy_Dur","FCI_C","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035RRMax"
"802",2,"C_to_RR.Policy_Start","FCI_P","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"803",6,"C_to_RR.Policy_Start","FCI_P","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"804",8,"C_to_RR.Policy_Start","FCI_P","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"805",12,"C_to_RR.Policy_Start","FCI_P","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"806",16,"C_to_RR.Policy_Start","FeedstockC","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"807",20,"C_to_RR.Policy_Start","FeedstockC","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"808",22,"C_to_RR.Policy_Start","FeedstockC","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"809",24,"C_to_RR.Policy_Start","FeedstockC","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"810",26,"C_to_RR.Policy_Start","FeedstockC","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"811",30,"C_to_RR.Policy_Start","FeedstockP","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"812",34,"C_to_RR.Policy_Start","FeedstockP","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"813",36,"C_to_RR.Policy_Start","FeedstockP","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"814",38,"C_to_RR.Policy_Start","FeedstockP","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"815",40,"C_to_RR.Policy_Start","FeedstockP","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"816",44,"C_to_RR.Policy_Start","Loan_C","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"817",48,"C_to_RR.Policy_Start","Loan_C","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"818",50,"C_to_RR.Policy_Start","Loan_C","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"819",52,"C_to_RR.Policy_Start","Loan_C","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"820",54,"C_to_RR.Policy_Start","Loan_C","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"821",58,"C_to_RR.Policy_Start","Loan_P","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"822",62,"C_to_RR.Policy_Start","Loan_P","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"823",64,"C_to_RR.Policy_Start","Loan_P","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"824",66,"C_to_RR.Policy_Start","Loan_P","FT",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"825",68,"C_to_RR.Policy_Start","Loan_P","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"826",76,"C_to_RR.Policy_Start","Price","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"827",82,"C_to_RR.Policy_Start","Price","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"828",92,"C_to_RR.Policy_Start","FCI_C","F",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"829",94,"C_to_RR.Policy_Start","FCI_C","APR",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"830",96,"C_to_RR.Policy_Start","FCI_C","MTG",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"831",98,"C_to_RR.Policy_Start","FCI_C","FP",NA,2011,2015,NA,0,0,0,0,NA,"EE2035RRMax"
"832",129,"C_to_RR.Startup_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"833",130,"C_to_RR.Startup_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035RRMax"
"834",131,"C_to_RR.Startup_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"835",132,"C_to_RR.Startup_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035RRMax"
"836",134,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"837",136,"C_to_RR.Startup_Subs_Vol_Thresh","FeedstockC",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"838",137,"C_to_RR.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"839",138,"C_to_RR.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"840",139,"C_to_RR.Startup_Subs_Vol_Thresh","Loan_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2035RRMax"
"841",77,"C_to_RR.Policy_Dur","Price","FP",NA,0,20,NA,-0.0000000000173487665229047,0.0000000000213209541296232,0.000000000030319667553658,0.0000000000060639335107316,2.86097571686791,"EEEtOHbeta"
"842",43,"C_to_RR.Policy_Dur","Loan_C","APR",NA,0,20,NA,0.00000000000962126140960038,0.0000000000147938849467179,0.0000000000249533546221251,0.00000000000499067092442502,1.92784929226903,"EEEtOHbeta"
"843",122,"C_to_RR.Background_Subs","FeedstockC",NA,NA,0,1,0,-0.000000000011981731819591,0.0000000000179316842837594,0.0000000000339021691465762,0.00000000000678043382931524,1.76710401151441,"EEEtOHbeta"
"844",54,"C_to_RR.Policy_Start","Loan_C","MTG",NA,2011,2015,NA,-0.0000000000105993180057693,0.0000000000204960099847345,0.0000000000319383390789476,0.00000000000638766781578952,1.65934082852103,"EEEtOHbeta"
"845",34,"C_to_RR.Policy_Start","FeedstockP","F",NA,2011,2015,NA,-0.000000000228135004061548,0.000000000239413621275356,0.000000000719272140933017,0.000000000143854428186603,1.58587404598779,"EEEtOHbeta"
"846",131,"C_to_RR.Startup_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0.00000000022301555612051,0.000000000228334019211683,0.000000000720103962794102,0.00000000014402079255882,1.54849554816488,"EEEtOHbeta"
"847",129,"C_to_RR.Startup_Subs","FeedstockC",NA,NA,0,1,0,0.00000000022442014544653,0.000000000254833789053851,0.000000000724882865742037,0.000000000144976573148407,1.54797523884634,"EEEtOHbeta"
"848",99,"C_to_EtOH.Background_Subs","FCI_C",NA,NA,0,1,0.6,0.000000000219209363783434,0.000000000232580880186671,0.000000000721459188987796,0.000000000144291837797559,1.51920834282382,"EEEtOHbeta"
"849",130,"C_to_RR.Startup_Subs","FeedstockP",NA,NA,0,1,0,0.00000000000852026327627446,0.0000000000159943599270223,0.0000000000284511150548073,0.00000000000569022301096146,1.49735137970187,"EEEtOHbeta"
"850",111,"C_to_EtOH.Startup_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0.000000000214950235266177,0.000000000233782995477277,0.000000000723230830019129,0.000000000144646166003826,1.48604170580292,"EEEtOHbeta"
"851",106,"C_to_EtOH.Startup_Subs","FCI_C",NA,NA,0,1,0,0.000000000213213788823734,0.000000000228490472008537,0.000000000723235050653508,0.000000000144647010130702,1.47402831645864,"EEEtOHbeta"
"852",60,"C_to_EtOH.Policy_Start","Loan_P","BC",NA,2011,2015,NA,-0.000000000211115716255844,0.000000000234740848549351,0.000000000724400886694254,0.000000000144880177338851,1.45717461238385,"EEEtOHbeta"
"853",92,"C_to_RR.Policy_Start","FCI_C","F",NA,2011,2015,NA,-0.000000000212928097417031,0.000000000249408509606699,0.000000000731741328074466,0.000000000146348265614893,1.45494103754765,"EEEtOHbeta"
"854",93,"C_to_RR.Policy_Dur","FCI_C","APR",NA,0,20,NA,-0.000000000210605398785232,0.000000000243100419477057,0.000000000724910842506666,0.000000000144982168501333,1.45262966447695,"EEEtOHbeta"
"855",126,"C_to_RR.Background_Subs","Price",NA,NA,0,5,0.150000005960464,-0.000000000211311745826931,0.000000000243646065223382,0.000000000727572509591109,0.000000000145514501918222,1.45216966722455,"EEEtOHbeta"
"856",64,"C_to_RR.Policy_Start","Loan_P","FP",NA,2011,2015,NA,0.000000000210317801209104,0.000000000232015345098362,0.000000000724622617117744,0.000000000144924523423549,1.45122299691433,"EEEtOHbeta"
"857",65,"C_to_RR.Policy_Dur","Loan_P","FT",NA,0,20,NA,-0.000000000209096897796211,0.000000000235956245122739,0.000000000724622834782745,0.000000000144924566956549,1.44279815484218,"EEEtOHbeta"
"858",102,"C_to_EtOH.Background_Subs","FeedstockP",NA,NA,0,1,0,0.000000000208689008584902,0.000000000223390956012494,0.000000000723996559609232,0.000000000144799311921846,1.44122928358623,"EEEtOHbeta"
"859",7,"C_to_RR.Policy_Dur","FCI_P","FP",NA,0,20,NA,-0.0000000002080242668562,0.000000000229111943780915,0.000000000724600016616105,0.000000000144920003323221,1.43544205137944,"EEEtOHbeta"
"860",109,"C_to_EtOH.Startup_Subs","FeedstockP",NA,NA,0,1,0,-0.000000000207352733717545,0.000000000238427167475616,0.000000000725274800236499,0.0000000001450549600473,1.42947703167083,"EEEtOHbeta"
"861",68,"C_to_RR.Policy_Start","Loan_P","MTG",NA,2011,2015,NA,-0.000000000203649400880076,0.000000000233145705831736,0.000000000726205938132092,0.000000000145241187626418,1.40214634848547,"EEEtOHbeta"
"862",15,"C_to_RR.Policy_Dur","FeedstockC","APR",NA,0,20,NA,-0.000000000200358885529072,0.000000000226353550375971,0.00000000072663357159536,0.000000000145326714319072,1.37867897494176,"EEEtOHbeta"
"863",88,"C_to_EtOH.Policy_Start","FCI_C","BC",NA,2011,2015,NA,-0.000000000134903776225773,0.000000000148604326548223,0.000000000523570678941609,0.000000000104714135788322,1.28830530100042,"EEEtOHbeta"
"864",29,"C_to_RR.Policy_Dur","FeedstockP","APR",NA,0,20,NA,0.000000000135288475781068,0.000000000158166062269479,0.000000000525379666167026,0.000000000105075933233405,1.28753056592466,"EEEtOHbeta"
"865",2,"C_to_RR.Policy_Start","FCI_P","APR",NA,2011,2015,NA,-0.00000000018614995661313,0.000000000249787549881007,0.000000000736046323524016,0.000000000147209264704803,1.2645260947836,"EEEtOHbeta"
"866",62,"C_to_RR.Policy_Start","Loan_P","F",NA,2011,2015,NA,0.000000000124698788122285,0.000000000142984206034916,0.000000000522590601302783,0.000000000104518120260557,1.19308295835612,"EEEtOHbeta"
"867",30,"C_to_RR.Policy_Start","FeedstockP","APR",NA,2011,2015,NA,0.000000000123690561316834,0.000000000140583593755101,0.000000000526214728740418,0.000000000105242945748084,1.1752860055144,"EEEtOHbeta"
"868",80,"C_to_RR.Policy_Start","Price","FT",NA,2011,2015,NA,-0.0000000000201643176003514,0.0000000000414432848332084,0.0000000000865630887552316,0.0000000000173126177510463,1.16471800453936,"EEEtOHbeta"
"869",21,"C_to_RR.Policy_Dur","FeedstockC","FP",NA,0,20,NA,0.000000000119376055515775,0.000000000139460681832392,0.000000000523242504115737,0.000000000104648500823147,1.14073354684284,"EEEtOHbeta"
"870",50,"C_to_RR.Policy_Start","Loan_C","FP",NA,2011,2015,NA,-0.000000000116986400859851,0.000000000141645364067648,0.000000000523135206141791,0.000000000104627041228358,1.11812777544303,"EEEtOHbeta"
"871",20,"C_to_RR.Policy_Start","FeedstockC","F",NA,2011,2015,NA,-0.000000000116147707989706,0.000000000130547813334889,0.000000000522822267902779,0.000000000104564453580556,1.11077621517169,"EEEtOHbeta"
"872",97,"C_to_RR.Policy_Dur","FCI_C","FP",NA,0,20,NA,0.00000000000753496650539611,0.0000000000195154399204642,0.0000000000340174904224315,0.00000000000680349808448629,1.10751357784281,"EEEtOHbeta"
"873",128,"C_to_RR.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,-0.000000000114452684454032,0.000000000126604992749851,0.000000000523192089885029,0.000000000104638417977006,1.09379219092535,"EEEtOHbeta"
"874",119,"C_to_EtOH.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,0.000000000113894545527336,0.000000000118547933941221,0.000000000521803620743981,0.000000000104360724148796,1.09135449620824,"EEEtOHbeta"
"875",18,"C_to_EtOH.Policy_Start","FeedstockC","BC",NA,2011,2015,NA,0.000000000113856571549742,0.000000000131018919019205,0.000000000523613367181869,0.000000000104722673436374,1.08721987143421,"EEEtOHbeta"
"876",33,"C_to_RR.Policy_Dur","FeedstockP","F",NA,0,20,NA,0.000000000114537358500256,0.000000000149517826174277,0.000000000528180676850847,0.000000000105636135370169,1.08426305164322,"EEEtOHbeta"
"877",96,"C_to_RR.Policy_Start","FCI_C","MTG",NA,2011,2015,NA,-0.00000000011302053045558,0.000000000118781119524737,0.000000000521740677641804,0.000000000104348135528361,1.08311020492419,"EEEtOHbeta"
"878",11,"C_to_RR.Policy_Dur","FCI_P","MTG",NA,0,20,NA,-0.000000000112784623580627,0.000000000117966542099272,0.000000000522148879394866,0.000000000104429775878973,1.08000445879858,"EEEtOHbeta"
"879",1,"C_to_RR.Policy_Dur","FCI_P","APR",NA,0,20,NA,-0.000000000112966960598287,0.00000000013611367769246,0.000000000523270501091263,0.000000000104654100218253,1.07943176963633,"EEEtOHbeta"
"880",41,"C_to_EtOH.Policy_Dur","FeedstockP","TC",NA,0,20,NA,0.000000000112232759104386,0.000000000125458409177199,0.000000000522003583956892,0.000000000104400716791378,1.07501904731802,"EEEtOHbeta"
"881",22,"C_to_RR.Policy_Start","FeedstockC","FP",NA,2011,2015,NA,-0.00000000000704547551201417,0.0000000000227724166483963,0.0000000000328694071221278,0.00000000000657388142442556,1.07173754090489,"EEEtOHbeta"
"882",45,"C_to_EtOH.Policy_Dur","Loan_C","BC",NA,0,20,NA,-0.000000000111761665638324,0.000000000125873125482667,0.000000000522024805800186,0.000000000104404961160037,1.07046316953282,"EEEtOHbeta"
"883",100,"C_to_EtOH.Background_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0.000000000110781365252676,0.000000000133739343345323,0.000000000523712211054702,0.00000000010474244221094,1.05765497647624,"EEEtOHbeta"
"884",63,"C_to_RR.Policy_Dur","Loan_P","FP",NA,0,20,NA,0.000000000110151954023461,0.000000000121496474426869,0.000000000522699474961194,0.000000000104539894992239,1.05368341944134,"EEEtOHbeta"
"885",3,"C_to_EtOH.Policy_Dur","FCI_P","BC",NA,0,20,NA,0.00000000000835474081576416,0.0000000000197877520725801,0.0000000000398249151733713,0.00000000000796498303467426,1.04893391227491,"EEEtOHbeta"
"886",53,"C_to_RR.Policy_Dur","Loan_C","MTG",NA,0,20,NA,-0.00000000010945357674223,0.000000000118039380017063,0.000000000522132979199858,0.000000000104426595839972,1.04813889471186,"EEEtOHbeta"
"887",35,"C_to_RR.Policy_Dur","FeedstockP","FP",NA,0,20,NA,0.000000000109554515407994,0.000000000124945988674029,0.000000000522632655660489,0.000000000104526531132098,1.04810246950166,"EEEtOHbeta"
"888",95,"C_to_RR.Policy_Dur","FCI_C","MTG",NA,0,20,NA,0.00000000010965717305165,0.00000000012932291442517,0.000000000523176832100902,0.00000000010463536642018,1.04799339652813,"EEEtOHbeta"
"889",23,"C_to_RR.Policy_Dur","FeedstockC","FT",NA,0,20,NA,0.000000000108920205798416,0.000000000122386623158693,0.000000000522562300877663,0.000000000104512460175533,1.04217435524416,"EEEtOHbeta"
"890",75,"C_to_RR.Policy_Dur","Price","F",NA,0,20,NA,0.000000000108439164966812,0.000000000127502405583895,0.000000000523790619658702,0.00000000010475812393174,1.03513847801885,"EEEtOHbeta"
"891",108,"C_to_EtOH.Startup_Subs","FeedstockC",NA,NA,0,1,0,0.000000000108134095626918,0.000000000117190144731531,0.000000000522556608262859,0.000000000104511321652572,1.03466393800271,"EEEtOHbeta"
"892",66,"C_to_RR.Policy_Start","Loan_P","FT",NA,2011,2015,NA,0.000000000107718146697357,0.000000000118958462924618,0.000000000522495206976492,0.000000000104499041395298,1.03080511800947,"EEEtOHbeta"
"893",70,"C_to_EtOH.Policy_Dur","Loan_P","TC",NA,0,20,NA,-0.000000000106789300843071,0.000000000134190456187768,0.000000000524370145980483,0.000000000104874029196097,1.01826259238494,"EEEtOHbeta"
"894",140,"C_to_RR.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,-0.000000000106799731571493,0.000000000136806658241181,0.00000000052473724605116,0.000000000104947449210232,1.01764961773916,"EEEtOHbeta"
"895",76,"C_to_RR.Policy_Start","Price","F",NA,2011,2015,NA,0.000000000106073171756802,0.000000000119376513782218,0.000000000523069623576836,0.000000000104613924715367,1.01394887961049,"EEEtOHbeta"
"896",6,"C_to_RR.Policy_Start","FCI_P","F",NA,2011,2015,NA,-0.000000000106158188459674,0.000000000125148437061795,0.000000000524025548740089,0.000000000104805109748018,1.01291042693347,"EEEtOHbeta"
"897",37,"C_to_RR.Policy_Dur","FeedstockP","FT",NA,0,20,NA,0.000000000105708804562472,0.000000000127382178664265,0.000000000523864480933599,0.00000000010477289618672,1.0089327336536,"EEEtOHbeta"
"898",46,"C_to_EtOH.Policy_Start","Loan_C","BC",NA,2011,2015,NA,-0.000000000105557832602468,0.000000000117959196305761,0.000000000523316132828562,0.000000000104663226565712,1.00854747236551,"EEEtOHbeta"
"899",84,"C_to_EtOH.Policy_Start","Price","TC",NA,2011,2015,NA,-0.000000000105122687085703,0.000000000125887584525859,0.000000000524023237134392,0.000000000104804647426878,1.00303459499777,"EEEtOHbeta"
"900",98,"C_to_RR.Policy_Start","FCI_C","FP",NA,2011,2015,NA,-0.000000000104683501388273,0.000000000119666064352824,0.000000000523266393644043,0.000000000104653278728809,1.00028878846255,"EEEtOHbeta"
"901",17,"C_to_EtOH.Policy_Dur","FeedstockC","BC",NA,0,20,NA,-0.000000000104531412067191,0.000000000126727209631458,0.00000000052348813277935,0.00000000010469762655587,0.99841243307851,"EEEtOHbeta"
"902",27,"C_to_EtOH.Policy_Dur","FeedstockC","TC",NA,0,20,NA,0.000000000104640094225905,0.000000000132176565365958,0.000000000524565134458685,0.000000000104913026891737,0.997398486404231,"EEEtOHbeta"
"903",25,"C_to_RR.Policy_Dur","FeedstockC","MTG",NA,0,20,NA,-0.000000000104048776731669,0.000000000121573368799481,0.000000000523449009549652,0.00000000010468980190993,0.99387690905354,"EEEtOHbeta"
"904",8,"C_to_RR.Policy_Start","FCI_P","FP",NA,2011,2015,NA,-0.000000000104052991470354,0.000000000131933338659851,0.000000000524835809736187,0.000000000104967161947237,0.991290890789798,"EEEtOHbeta"
"905",107,"C_to_EtOH.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,-0.000000000102965692147915,0.000000000127337114378004,0.00000000052448553075706,0.000000000104897106151412,0.981587537784795,"EEEtOHbeta"
"906",55,"C_to_EtOH.Policy_Dur","Loan_C","TC",NA,0,20,NA,0.000000000205167660161462,0.000000000434956179060691,0.00000000104634633832894,0.000000000209269267665787,0.980400335175466,"EEEtOHbeta"
"907",31,"C_to_EtOH.Policy_Dur","FeedstockP","BC",NA,0,20,NA,0.000000000102651385860344,0.000000000122924324111285,0.000000000524158499789464,0.000000000104831699957893,0.979201767228574,"EEEtOHbeta"
"908",14,"C_to_EtOH.Policy_Start","FCI_P","TC",NA,2011,2015,NA,-0.00000000010172983488819,0.00000000011757265473254,0.000000000523838831674743,0.000000000104767766334949,0.971003185874497,"EEEtOHbeta"
"909",114,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,0.000000000101163335343618,0.000000000114852935432632,0.000000000523838115199905,0.000000000104767623039981,0.965597313446854,"EEEtOHbeta"
"910",86,"C_to_EtOH.Policy_Start","FCI_C","TC",NA,2011,2015,NA,0.000000000101229643877754,0.000000000122692737249614,0.000000000524445537915395,0.000000000104889107583079,0.965111117925891,"EEEtOHbeta"
"911",137,"C_to_RR.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,-0.000000000100814197160148,0.000000000121735491925527,0.000000000524281937983115,0.000000000104856387596623,0.961450222259942,"EEEtOHbeta"
"912",78,"C_to_RR.Policy_Start","Price","FP",NA,2011,2015,NA,-0.00000000000937030562350189,0.0000000000309453031953199,0.0000000000490099661431746,0.00000000000980199322863492,0.955959201861931,"EEEtOHbeta"
"913",135,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,0.0000000000993367148429788,0.00000000011694130538097,0.000000000524067400094556,0.000000000104813480018911,0.947747511341631,"EEEtOHbeta"
"914",71,"C_to_RR.Policy_Dur","Price","APR",NA,0,20,NA,-0.0000000000983874403922662,0.000000000122845932764467,0.00000000052504708569323,0.000000000105009417138646,0.936939210531597,"EEEtOHbeta"
"915",136,"C_to_RR.Startup_Subs_Vol_Thresh","FeedstockC",NA,NA,0,5,1,0.0000000000984425873695177,0.000000000137489509517585,0.000000000527677856309867,0.000000000105535571261973,0.932790586077857,"EEEtOHbeta"
"916",81,"C_to_RR.Policy_Dur","Price","MTG",NA,0,20,NA,0.0000000000978982591026282,0.000000000130190530687034,0.000000000525979428797219,0.000000000105195885759444,0.9306282122715,"EEEtOHbeta"
"917",5,"C_to_RR.Policy_Dur","FCI_P","F",NA,0,20,NA,0.0000000000972126289019098,0.000000000124756962232008,0.000000000525709363968462,0.000000000105141872793692,0.924585289560695,"EEEtOHbeta"
"918",116,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,-0.0000000000966092588445683,0.000000000124053945749525,0.000000000525131734190586,0.000000000105026346838117,0.919857366775572,"EEEtOHbeta"
"919",26,"C_to_RR.Policy_Start","FeedstockC","MTG",NA,2011,2015,NA,-0.0000000000965866688056462,0.000000000120914772892478,0.00000000052521746290223,0.000000000105043492580446,0.91949216874788,"EEEtOHbeta"
"920",39,"C_to_RR.Policy_Dur","FeedstockP","MTG",NA,0,20,NA,-0.0000000000964010046163124,0.000000000121813924183778,0.000000000525095698906166,0.000000000105019139781233,0.917937480892784,"EEEtOHbeta"
"921",113,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0.0000000000970496713118106,0.000000000138294962602313,0.00000000053145381291217,0.000000000106290762582434,0.913058378300218,"EEEtOHbeta"
"922",12,"C_to_RR.Policy_Start","FCI_P","MTG",NA,2011,2015,NA,-0.0000000000958682969332391,0.000000000125822119771781,0.000000000525730314286981,0.000000000105146062857396,0.911763068706243,"EEEtOHbeta"
"923",19,"C_to_RR.Policy_Dur","FeedstockC","F",NA,0,20,NA,-0.0000000000969429591746967,0.000000000142239194268329,0.000000000531911070868706,0.000000000106382214173741,0.911270365329787,"EEEtOHbeta"
"924",59,"C_to_EtOH.Policy_Dur","Loan_P","BC",NA,0,20,NA,0.0000000000957372942630067,0.000000000130787505174085,0.00000000052609221070991,0.000000000105218442141982,0.909890816800143,"EEEtOHbeta"
"925",48,"C_to_RR.Policy_Start","Loan_C","F",NA,2011,2015,NA,-0.0000000000941796035317007,0.000000000133524984948474,0.000000000526800273310516,0.000000000105360054662103,0.893883396641555,"EEEtOHbeta"
"926",138,"C_to_RR.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0.0000000000939790435956298,0.000000000142796472713502,0.000000000532345830004856,0.000000000106469166000971,0.882687891016001,"EEEtOHbeta"
"927",32,"C_to_EtOH.Policy_Start","FeedstockP","BC",NA,2011,2015,NA,-0.0000000000912557960419081,0.000000000132477578944518,0.00000000052713413305216,0.000000000105426826610432,0.865584206371988,"EEEtOHbeta"
"928",125,"C_to_RR.Background_Subs","Loan_P",NA,NA,0,1,0.699999988079071,-0.0000000000900814680783376,0.000000000130744295870185,0.000000000527329794763635,0.000000000105465958952727,0.854128374433259,"EEEtOHbeta"
"929",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,0.0000000000867167389980993,0.000000000142920867208282,0.000000000532032846664795,0.000000000106406569332959,0.814956628540031,"EEEtOHbeta"
"930",82,"C_to_RR.Policy_Start","Price","MTG",NA,2011,2015,NA,-0.0000000000867883571515532,0.00000000014247438856143,0.000000000533701516151194,0.000000000106740303230239,0.813079544699726,"EEEtOHbeta"
"931",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,0.0000000000847498136668004,0.000000000126888911976849,0.00000000052766646000803,0.000000000105533292001606,0.803062351788579,"EEEtOHbeta"
"932",91,"C_to_RR.Policy_Dur","FCI_C","F",NA,0,20,NA,0.0000000000136991448780089,0.0000000000325742884403423,0.0000000000872293745185952,0.000000000017445874903719,0.785236908645295,"EEEtOHbeta"
"933",13,"C_to_EtOH.Policy_Dur","FCI_P","TC",NA,0,20,NA,-0.00000000000606531149023094,0.0000000000202972409417411,0.0000000000393263669179696,0.00000000000786527338359393,0.771150752735753,"EEEtOHbeta"
"934",94,"C_to_RR.Policy_Start","FCI_C","APR",NA,2011,2015,NA,0.00000000000513044489374579,0.0000000000209413281898625,0.0000000000340495866523186,0.00000000000680991733046372,0.753378439822622,"EEEtOHbeta"
"935",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,-0.0000000000127261980070319,0.0000000000332925238177507,0.0000000000862062628902953,0.0000000000172412525780591,0.738124909974758,"EEEtOHbeta"
"936",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,-0.00000000000686346777895999,0.0000000000224164575209508,0.0000000000476658181149219,0.00000000000953316362298437,0.719956989137606,"EEEtOHbeta"
"937",124,"C_to_RR.Background_Subs","Loan_C",NA,NA,0,1,0.699999988079071,-0.0000000000737870160468733,0.000000000138891985245071,0.000000000534188015978985,0.000000000106837603195797,0.690646493741036,"EEEtOHbeta"
"938",4,"C_to_EtOH.Policy_Start","FCI_P","BC",NA,2011,2015,NA,0.0000000000742466704750236,0.000000000157122350105811,0.000000000544932675069269,0.000000000108986535013854,0.681246270152416,"EEEtOHbeta"
"939",36,"C_to_RR.Policy_Start","FeedstockP","FP",NA,2011,2015,NA,0.00000000000476941995595468,0.0000000000235209291582027,0.0000000000361703566729275,0.00000000000723407133458551,0.659299547289847,"EEEtOHbeta"
"940",52,"C_to_RR.Policy_Start","Loan_C","FT",NA,2011,2015,NA,0.000000000114584174048167,0.000000000331601012291904,0.000000000917126677239178,0.000000000183425335447836,0.62469109716173,"EEEtOHbeta"
