"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"1",112,"C_to_EtOH.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,7.5488018,7.7448258,9.77301082961865,1.95460216592373,3.86206560680469,"EE2051TotalMax"
"2",105,"C_to_EtOH.Background_Subs","Price",NA,NA,0,5,0.150000005960464,6.9272504,6.9686664,10.6693808111462,2.13387616222923,3.24632259482349,"EE2051TotalMax"
"3",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,5.5564568,6.1271168,9.81061453298224,1.96212290659645,2.83185970731996,"EE2051TotalMax"
"4",84,"C_to_EtOH.Policy_Start","Price","TC",NA,2011,2015,NA,1.0650374,1.1560934,2.34746393466045,0.469492786932089,2.26848511765114,"EE2051TotalMax"
"5",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,-0.514636,0.514636,1.47763324839928,0.295526649679855,1.74141993812574,"EE2051TotalMax"
"6",80,"C_to_RR.Policy_Start","Price","FT",NA,2011,2015,NA,0.1405476,0.1457368,0.522798690646712,0.104559738129342,1.34418469780538,"EE2051TotalMax"
"7",126,"C_to_RR.Background_Subs","Price",NA,NA,0,5,0.150000005960464,-0.0304603999999999,0.0310875999999999,0.114295634375653,0.0228591268751307,1.33252683562201,"EE2051TotalMax"
"8",119,"C_to_EtOH.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,-1.4648092,2.3709548,5.74008844835812,1.14801768967162,1.27594654087516,"EE2051TotalMax"
"9",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,-1.0680126,1.1938594,4.95946947375257,0.991893894750513,1.07674077404079,"EE2051TotalMax"
"10",127,"C_to_RR.Startup_Subs","FCI_C",NA,NA,0,1,0,-0.6123086,0.7994446,2.86062240781891,0.572124481563782,1.07023667004492,"EE2051TotalMax"
"11",89,"C_to_RR.Policy_Dur","FCI_C","FT",NA,0,20,NA,0.0000120000000000786,0.0000120000000000786,0.0000600000000003931,0.0000120000000000786,1,"EE2051TotalMax"
"12",134,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0.00000799999999987477,0.00000799999999987477,0.0000399999999993739,0.00000799999999987477,1,"EE2051TotalMax"
"13",135,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,-0.0193324,0.0193324,0.096662,0.0193324,1,"EE2051TotalMax"
"14",140,"C_to_RR.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,0.0535602000000002,0.0540921999999999,0.269187443168015,0.053837488633603,0.994849525105267,"EE2051TotalMax"
"15",73,"C_to_EtOH.Policy_Dur","Price","BC",NA,0,20,NA,2.3285688,9.2932808,13.1612133561336,2.63224267122672,0.884633026222769,"EE2051TotalMax"
"16",10,"C_to_RR.Policy_Start","FCI_P","FT",NA,2011,2015,NA,-0.00822640000000005,0.0116263999999999,0.0507024794659984,0.0101404958931997,0.811242377753612,"EE2051TotalMax"
"17",90,"C_to_RR.Policy_Start","FCI_C","FT",NA,2011,2015,NA,-0.00373179999999989,0.00702819999999989,0.0283272695795642,0.00566545391591284,0.658693911447801,"EE2051TotalMax"
"18",71,"C_to_RR.Policy_Dur","Price","APR",NA,0,20,NA,-0.0110042,0.0343002000000009,0.0936411300266434,0.0187282260053287,0.587573003276925,"EE2051TotalMax"
"19",74,"C_to_EtOH.Policy_Start","Price","BC",NA,2011,2015,NA,0.9883346,4.5225566,8.61421980427432,1.72284396085486,0.573664604837222,"EE2051TotalMax"
"20",128,"C_to_RR.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,-0.2488166,0.6305766,2.22251901881941,0.444503803763882,0.559762588965763,"EE2051TotalMax"
"21",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,-0.00899260000000036,0.0281754000000005,0.0974132487686692,0.0194826497537339,0.461569658833338,"EE2051TotalMax"
"22",77,"C_to_RR.Policy_Dur","Price","FP",NA,0,20,NA,-0.0219725999999996,0.114635399999999,0.274944200797785,0.054988840159557,0.399582896024782,"EE2051TotalMax"
"23",78,"C_to_RR.Policy_Start","Price","FP",NA,2011,2015,NA,0.0047842000000003,0.0171361999999991,0.0607037364768415,0.0121407472953683,0.394061410192227,"EE2051TotalMax"
"24",99,"C_to_EtOH.Background_Subs","FCI_C",NA,NA,0,1,0.6,0,0,0,0,NA,"EE2051TotalMax"
"25",100,"C_to_EtOH.Background_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0,0,0,0,NA,"EE2051TotalMax"
"26",101,"C_to_EtOH.Background_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2051TotalMax"
"27",102,"C_to_EtOH.Background_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2051TotalMax"
"28",103,"C_to_EtOH.Background_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2051TotalMax"
"29",104,"C_to_EtOH.Background_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2051TotalMax"
"30",3,"C_to_EtOH.Policy_Dur","FCI_P","BC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"31",13,"C_to_EtOH.Policy_Dur","FCI_P","TC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"32",17,"C_to_EtOH.Policy_Dur","FeedstockC","BC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"33",27,"C_to_EtOH.Policy_Dur","FeedstockC","TC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"34",31,"C_to_EtOH.Policy_Dur","FeedstockP","BC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"35",41,"C_to_EtOH.Policy_Dur","FeedstockP","TC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"36",45,"C_to_EtOH.Policy_Dur","Loan_C","BC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"37",55,"C_to_EtOH.Policy_Dur","Loan_C","TC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"38",59,"C_to_EtOH.Policy_Dur","Loan_P","BC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"39",70,"C_to_EtOH.Policy_Dur","Loan_P","TC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"40",85,"C_to_EtOH.Policy_Dur","FCI_C","TC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"41",87,"C_to_EtOH.Policy_Dur","FCI_C","BC",NA,0,20,NA,0,0,0,0,NA,"EE2051TotalMax"
"42",4,"C_to_EtOH.Policy_Start","FCI_P","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"43",14,"C_to_EtOH.Policy_Start","FCI_P","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"44",18,"C_to_EtOH.Policy_Start","FeedstockC","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"45",28,"C_to_EtOH.Policy_Start","FeedstockC","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"46",32,"C_to_EtOH.Policy_Start","FeedstockP","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"47",42,"C_to_EtOH.Policy_Start","FeedstockP","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"48",46,"C_to_EtOH.Policy_Start","Loan_C","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"49",56,"C_to_EtOH.Policy_Start","Loan_C","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"50",60,"C_to_EtOH.Policy_Start","Loan_P","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"51",69,"C_to_EtOH.Policy_Start","Loan_P","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"52",86,"C_to_EtOH.Policy_Start","FCI_C","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"53",88,"C_to_EtOH.Policy_Start","FCI_C","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2051TotalMax"
"54",106,"C_to_EtOH.Startup_Subs","FCI_C",NA,NA,0,1,0,0,0,0,0,NA,"EE2051TotalMax"
"55",107,"C_to_EtOH.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0,0,0,0,NA,"EE2051TotalMax"
"56",108,"C_to_EtOH.Startup_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2051TotalMax"
"57",109,"C_to_EtOH.Startup_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2051TotalMax"
"58",110,"C_to_EtOH.Startup_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2051TotalMax"
"59",111,"C_to_EtOH.Startup_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2051TotalMax"
"60",113,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2051TotalMax"
"61",114,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2051TotalMax"
"62",115,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockC",NA,NA,0,5,1,0,0,0,0,NA,"EE2051TotalMax"
"63",116,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,0,0,0,0,NA,"EE2051TotalMax"
"64",117,"C_to_EtOH.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2051TotalMax"
"65",118,"C_to_EtOH.Startup_Subs_Vol_Thresh","Loan_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2051TotalMax"
